ComInsee,ComLib,InsNumeroInstall,InsNom,EquipementId,EquNom,EquNbEquIdentique,GestionTypeProprietairePrincLib,NatureLibelle,EquGpsX,EquGpsY
44209,Treillières,442090002,Complexe Sportif du Gesvres,73821,Salle Kodokan,1,Commune,Intérieur,-1.621485,47.32715
44209,Treillières,442090002,Complexe Sportif du Gesvres,73822,Salle Omnisports Olympie,1,Commune,Intérieur,-1.621485,47.32715
44209,Treillières,442090002,Complexe Sportif du Gesvres,73824,Salle Polyvalente Athéna,1,Commune,Intérieur,-1.621485,47.32715
44209,Treillières,442090003,Complexe Sportif Heracles,199674,Salle Omnisports Héraclés,2,Commune,Intérieur,-1.6213959999999998,47.326371
44209,Treillières,442090004,Circuits de Randonnees,220087,Circuit de la Vallée du Gesvres,1,Commune,Site naturel aménagé,-1.62455,47.33098
44209,Treillières,442090005,Les Ecuries de Champeaux,220568,Carriére de Dressage,1,Privé non commercial,Découvert,-1.5872,47.30805
44209,Treillières,442090005,Les Ecuries de Champeaux,220579,Carriére d'Obstacles,1,Privé non commercial,Découvert,-1.58877,47.30805
44209,Treillières,442090005,Les Ecuries de Champeaux,220594,Piste de Galop,1,Privé non commercial,Découvert,-1.58846,47.30858
44209,Treillières,442090004,Circuits de Randonnees,290218,Circuits des Coteaux du Gesvres,1,Commune,Site naturel aménagé,-1.62455,47.33098
44209,Treillières,442090008,Ecole Alexandre Vincent,291993,Plateau Basket Ball,1,Commune,Découvert,-1.6252,47.328140000000005
44209,Treillières,442090003,Complexe Sportif Heracles,296294,Salle Marathon,1,Commune,Intérieur,-1.62087,47.3265
44209,Treillières,442090009,Stades de la Rinéais,350467,Terrain de Football d'Honneur,1,Commune,Découvert,-1.603718,47.329165
44209,Treillières,442090009,Stades de la Rinéais,350468,Terrain d'Entraénement,1,Commune,Découvert,-1.603718,47.329165
44209,Treillières,442090009,Stades de la Rinéais,364778,Boulodrome,1,Commune,Découvert,-1.60427,47.32963
44209,Treillières,442090001,Stade Municipal,364779,Terrain de Rugby,1,Commune,Découvert,-1.620753,47.327762
44209,Treillières,442090001,Stade Municipal,364780,Plateau Multisports,1,Commune,Découvert,-1.620074,47.327353
44209,Treillières,442090001,Stade Municipal,364781,Skate-Park,1,Commune,Découvert,-1.622147,47.326642
44209,Treillières,442090001,Stade Municipal,364782,Halle de Raquettes,1,Commune,Intérieur,-1.620334,47.326918
44209,Treillières,442090002,Complexe Sportif du Gesvres,364783,Piste d'Athlétisme,1,Commune,Découvert,-1.617593,47.325407
